SampleID,Condition,Replicate,bamReads,Peaks,PeakCaller,PeakFormat
ACF_1,CSF3R_FIRST,1,data/shift/ACF_1.shifted.filtered.markd.sorted.bam,data/macs2/consensus_peaks.bed,macs2,bed
ACF_2,CSF3R_FIRST,2,data/shift/ACF_2.shifted.filtered.markd.sorted.bam,data/macs2/consensus_peaks.bed,macs2,bed
ACF_3,CSF3R_FIRST,3,data/shift/ACF_3.shifted.filtered.markd.sorted.bam,data/macs2/consensus_peaks.bed,macs2,bed
AFC_1,AMLETO_FIRST,1,data/shift/AFC_1.shifted.filtered.markd.sorted.bam,data/macs2/consensus_peaks.bed,macs2,bed
AFC_2,AMLETO_FIRST,2,data/shift/AFC_2.shifted.filtered.markd.sorted.bam,data/macs2/consensus_peaks.bed,macs2,bed
AFC_3,AMLETO_FIRST,3,data/shift/AFC_3.shifted.filtered.markd.sorted.bam,data/macs2/consensus_peaks.bed,macs2,bed
EC_1,CSF3R_ONLY,1,data/shift/EC_1.shifted.filtered.markd.sorted.bam,data/macs2/consensus_peaks.bed,macs2,bed
EC_2,CSF3R_ONLY,2,data/shift/EC_2.shifted.filtered.markd.sorted.bam,data/macs2/consensus_peaks.bed,macs2,bed
EC_3,CSF3R_ONLY,3,data/shift/EC_3.shifted.filtered.markd.sorted.bam,data/macs2/consensus_peaks.bed,macs2,bed
EE_1,CONTROL,1,data/shift/EE_1.shifted.filtered.markd.sorted.bam,data/macs2/consensus_peaks.bed,macs2,bed
EE_2,CONTROL,2,data/shift/EE_2.shifted.filtered.markd.sorted.bam,data/macs2/consensus_peaks.bed,macs2,bed
EE_3,CONTROL,3,data/shift/EE_3.shifted.filtered.markd.sorted.bam,data/macs2/consensus_peaks.bed,macs2,bed
